"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1208","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","393","30","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1209","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","394","30","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1210","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","394","30","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1211","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","399","30","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1212","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","399","30","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1213","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","408","24","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"1214","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","425","26","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1215","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","425","26","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1216","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","427","24","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"1217","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","439","26","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1218","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","439","26","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1219","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","442","30","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1220","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","442","30","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1221","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","444","30","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"1222","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","452","28","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1223","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","452","28","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1224","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","455","30","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1225","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","455","30","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1226","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","459","30","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1227","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","459","30","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1228","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","461","34","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1229","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","461","34","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1230","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","462","34","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"1231","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","463","38","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1232","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","463","38","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1233","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","468","38","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"1234","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","469","42","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1235","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","469","42","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1236","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","470","42","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1237","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","470","42","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1238","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","475","42","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1239","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","475","42","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1240","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","508","20","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"1241","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","546","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"1242","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","577","18","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"1243","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","578","6","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1244","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","578","6","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1245","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","580","58","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"1246","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","596","17","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"1247","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","597","5","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1248","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","597","5","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1249","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","599","57","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"1250","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","610","18","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"1251","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","610","18","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"1252","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","611","5","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1253","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","611","5","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1254","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","620","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1255","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","620","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1256","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","635","18","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"1257","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","635","18","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"1258","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","635","18","NcssMethodCount","The method 'rbpCalculation()' has an NCSS line count of 47 (limit: 40)","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#ncssmethodcount","Design","pmd"
"1259","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","635","18","CognitiveComplexity","The method 'rbpCalculation(List<String>, String, String, String, List<Procedures>, Date, String, String, IntPS_NSA__Health_Plan_Content_Network__c, String)' has a cognitive complexity of 20, current threshold is 15","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"1260","1","1","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","642","15","LocalVariableNamingConventions","The local variable name 'ProcedureCode' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_codestyle.html#localvariablenamingconventions","Code Style","pmd"
"1261","1","1","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","643","15","LocalVariableNamingConventions","The local variable name 'RevenueCode' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_codestyle.html#localvariablenamingconventions","Code Style","pmd"
"1262","1","1","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","644","15","LocalVariableNamingConventions","The local variable name 'DRGCode' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_codestyle.html#localvariablenamingconventions","Code Style","pmd"
"1263","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","652","10","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1264","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","652","10","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1265","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","666","12","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1266","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","666","12","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1267","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","674","21","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1268","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","674","21","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1269","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","679","21","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1270","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","679","21","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1271","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","690","16","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1272","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","690","16","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1273","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","705","12","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1274","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","705","12","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1275","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","714","12","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1276","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","714","12","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1277","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","732","18","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"1278","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","732","18","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"1279","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","733","8","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1280","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","733","8","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1281","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","746","18","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"1282","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","746","18","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"1283","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","770","18","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"1284","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","770","18","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"1285","1","1","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","770","18","MethodNamingConventions","The static method name 'SQLWSCallout' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"1286","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","794","8","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1287","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","794","8","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1288","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","807","12","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1289","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","807","12","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1290","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","816","18","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"1291","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","816","18","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"1292","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","821","8","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"1293","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","821","8","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"1294","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/EOBEntryFormController_BM.cls","822","8","EmptyIfStmt","Avoid empty if statements","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_errorprone.html#emptyifstmt","Error Prone","pmd"
